site_id,n_years_used,mat_degc,map_mm,kg_class,kg_second,kg_main,koppen_class,koppen_twoletter,koppen_main,koppen_method,koppen_class_code,koppen_class_name,koppen_main_name,badm_kg_class,beck2023_kg_class,agree_badm,agree_beck2023
KR-TwC,21,11.225535714285714,4045.1193333333335,Dwa,Dw,D,Dwa,Dw,D,era5_local,21,"Cold, dry winter, hot summer",Cold,Dwa,Dwa,TRUE,TRUE
KR-UAO,30,11.060980555555554,941.6040333333333,Dfa,Df,D,Dfa,Df,D,era5_local,25,"Cold, no dry season, hot summer",Cold,Dwa,Dwa,FALSE,FALSE
KR-WdE,30,13.127877777777778,1398.0235666666665,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfb,Cfa,FALSE,TRUE
ML-Kem,30,28.410875,869.8877666666667,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,Aw,BWh,TRUE,FALSE
MN-Hst,30,0.8515499999999999,1005.7275000000002,Dwb,Dw,D,Dwb,Dw,D,era5_local,22,"Cold, dry winter, warm summer",Cold,Bsk,BSk,FALSE,FALSE
MN-Kbu,30,0.2025944444444452,1089.3188666666665,Dwb,Dw,D,Dwb,Dw,D,era5_local,22,"Cold, dry winter, warm summer",Cold,Bsk,BSk,FALSE,FALSE
MN-Nkh,30,-2.290580555555555,1332.8405000000002,Dwc,Dw,D,Dwc,Dw,D,era5_local,23,"Cold, dry winter, cold summer",Cold,Bsk,Dwc,FALSE,TRUE
MN-Udg,30,0.15912777777777767,1504.4765,Dwc,Dw,D,Dwc,Dw,D,era5_local,23,"Cold, dry winter, cold summer",Cold,Dwc,Dwc,TRUE,TRUE
MX-Aog,30,24.490655555555556,788.7900999999999,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,Bsh,BSh,FALSE,FALSE
MX-PMm,24,26.51550347222222,3866.730541666667,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,Aw,Aw,FALSE,FALSE
MX-Tes,30,23.506841666666666,599.7412333333333,BSh,BS,B,BSh,BS,B,era5_local,6,"Arid, steppe, hot",Arid,Bsh,BSh,FALSE,TRUE
MY-LHP,30,26.10653888888889,2605.4372666666663,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,Af,Af,TRUE,TRUE
NL-Hrw,30,10.462441666666667,858.1188000000001,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
NL-Loo,30,10.088475,1033.0346333333334,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
NL-Vkp,30,10.315686111111111,819.0740333333333,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
NO-And,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,Dfc,Dfc,NA,NA
NO-Fns,30,-0.982816666666667,3066.5747666666666,ET,ET,E,ET,ET,E,era5_local,29,"Polar, tundra",Polar,ET,Dfc,TRUE,FALSE
NO-Hur,30,5.200005555555555,852.9431333333333,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,NA,Dfb,NA,TRUE
NO-Ikr,30,-1.0077472222222221,2169.292633333333,Dfc,Df,D,Dfc,Df,D,era5_local,27,"Cold, no dry season, cold summer",Cold,Dfc,Dfc,TRUE,TRUE
