site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
RU-Cok,70.8291,147.4943,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",8,NL deciduous forest,2,Forest
RU-Fyo,56.4615,32.9221,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
RU-Ha1,54.7252,90.0022,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",15,Sparse vegetation,3,Shrubland
RU-Sam,72.3738,126.4958,200,Bare areas,7,Bare,exact,200,Bare areas,20,Bare areas,7,Bare
RU-SkP,62.255,129.168,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",8,NL deciduous forest,2,Forest
RU-Tks,71.5943,128.8878,200,Bare areas,7,Bare,exact,200,Bare areas,20,Bare areas,7,Bare
RU-Vrk,67.0547,62.9405,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
SD-Dem,13.2829,30.4783,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),11,Mosaic herb/tree-shrub,4,Grassland
SE-St1,68.3541,19.0503,210,Water bodies,9,Water,exact,210,Water bodies,21,Water bodies,9,Water
SJ-Adv,78.186,15.923,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",15,Sparse vegetation,3,Shrubland
SJ-Blv,78.9216,11.8311,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
SN-Dhr,15.4028,-15.4322,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
