site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
US-CRK,AmeriFlux,ENF,Northern America,Americas,2022,2025,3,2,66.7,FALSE,Subtropical humid forest,21,Cfa,Cf,C,18.694334030151367,1080,0.7777,Humid
US-Cst,AmeriFlux,ENF,Northern America,Americas,2013,2017,4,2,50,FALSE,Subtropical humid forest,21,Cfa,Cf,C,17.070833206176758,1409,1.1077,Humid
US-DS2,AmeriFlux,CRO,Northern America,Americas,2020,2023,3,2,66.7,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.47599983215332,392,0.2709,Semi-arid
US-EKH,AmeriFlux;Phenocam,WET,Northern America,Americas,2022,2024,2,2,100,FALSE,Subtropical mountain system,25,Csb,Cs,C,13.777999877929688,553,0.4682,Semi-arid
US-EvM,AmeriFlux;LTER,WET,Northern America,Americas,2020,2023,3,2,66.7,FALSE,Tropical moist forest,12,NA,NA,NA,24.35033416748047,1377,0.8182,Humid
US-HWB,AmeriFlux;LTAR,CVM,Northern America,Americas,2015,2018,3,2,66.7,FALSE,Temperate mountain system,35,Dfb,Df,D,9.40999984741211,1007,1.0654,Humid
US-LA3,AmeriFlux,WET,Northern America,Americas,2019,2023,4,2,50,FALSE,Subtropical humid forest,21,Cfa,Cf,C,20.65999984741211,1557,1.167,Humid
US-MEF,AmeriFlux,ENF,Northern America,Americas,2024,2025,1,2,200,FALSE,Temperate mountain system,35,Dfb,Df,D,5.159999847412109,430,0.3348,Semi-arid
US-RGA,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2024,3,2,66.7,FALSE,Subtropical humid forest,21,Cfa,Cf,C,16.84516716003418,1291,0.9781,Humid
US-RGB,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2024,3,2,66.7,FALSE,Subtropical dry forest,22,Csa,Cs,C,16.11716651916504,573,0.3735,Semi-arid
US-RGW,AmeriFlux;Phenocam,CRO,Northern America,Americas,2022,2024,2,2,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,17.24483299255371,1340,1.0153,Humid
US-SHC,AmeriFlux;Phenocam,ENF,Northern America,Americas,2017,2020,3,2,66.7,FALSE,Subtropical mountain system,25,Dsb,Ds,D,5.772500038146973,825,0.6924,Humid
US-SRC,AmeriFlux,OSH,Northern America,Americas,2008,2014,6,2,33.3,FALSE,Subtropical desert,24,Bwh,Bw,B,19.157499313354492,395,0.1879,Arid
US-Srr,AmeriFlux,WET,Northern America,Americas,2014,2017,3,2,66.7,FALSE,Subtropical mountain system,25,Csa,Cs,C,15.36216640472412,530,0.363,Semi-arid
US-UTW,AmeriFlux;UFLUX,CRO,Northern America,Americas,2021,2024,3,2,66.7,FALSE,Temperate desert,34,Dfa,Df,D,9.196999549865724,228,0.1608,Arid
US-xBA,AmeriFlux;NEON;Phenocam,WET,Northern America,Americas,2019,2024,5,2,40,FALSE,Polar,50,ET,ET,E,-11.990333557128906,109,0.5416,Dry sub-humid
US-xNW,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,2,40,FALSE,Temperate mountain system,35,Dfc,Df,D,0.8305000066757202,623,0.6583,Humid
US-xPU,AmeriFlux;NEON,EBF,Northern America,Americas,2019,2024,5,2,40,FALSE,Tropical mountain system,16,Cfb,Cf,C,13.239333152770996,2155,1.9884,Humid
