site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
US-UiG,AmeriFlux,CRO,Northern America,Americas,2018,2023,5,5,100,FALSE,Temperate steppe,33
US-xBN,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Boreal mountain system,43
US-xBR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35
US-xCL,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical steppe,23
US-xDJ,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Boreal tundra woodland,42
US-xJE,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical humid forest,21
US-xRN,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35
US-xSE,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical humid forest,21
US-xSL,AmeriFlux;NEON,CRO,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33
US-xST,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate continental forest,32
US-xTR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate continental forest,32
US-xUK,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33
