site_id,year,n_months_present,has_data
AU-Wom,2018,12,TRUE
AU-Wom,2019,10,TRUE
AU-Wom,2020,10,TRUE
AU-Wom,2021,5,TRUE
AU-Wom,2022,0,FALSE
AU-Wom,2023,0,FALSE
AU-Wom,2024,8,TRUE
AU-Wom,2025,12,TRUE
AU-Wrr,2013,10,TRUE
AU-Wrr,2014,7,TRUE
AU-Wrr,2015,5,TRUE
AU-Wrr,2016,10,TRUE
AU-Wrr,2017,12,TRUE
AU-Wrr,2018,7,TRUE
AU-Wrr,2019,9,TRUE
AU-Wrr,2020,12,TRUE
AU-Wrr,2021,9,TRUE
AU-Ya1,2023,12,TRUE
AU-Ya1,2024,12,TRUE
AU-Ya1,2025,6,TRUE
AU-Ya2,2023,12,TRUE
AU-Ya2,2024,12,TRUE
AU-Ya2,2025,6,TRUE
AU-Ync,2012,2,TRUE
AU-Ync,2013,12,TRUE
AU-Ync,2014,12,TRUE
AU-Ync,2015,12,TRUE
AU-Ync,2016,8,TRUE
AU-Ync,2017,12,TRUE
AU-Ync,2018,12,TRUE
AU-Ync,2019,12,TRUE
AU-Ync,2020,12,TRUE
AU-Ync,2021,12,TRUE
AU-Ync,2022,12,TRUE
AU-Ync,2023,12,TRUE
AU-Ync,2024,12,TRUE
AU-Ync,2025,9,TRUE
BE-Bra,1999,12,TRUE
BE-Bra,2000,12,TRUE
BE-Bra,2001,12,TRUE
BE-Bra,2002,12,TRUE
BE-Bra,2003,0,FALSE
BE-Bra,2004,0,FALSE
BE-Bra,2005,12,TRUE
BE-Bra,2006,12,TRUE
BE-Bra,2007,12,TRUE
BE-Bra,2008,12,TRUE
BE-Bra,2009,12,TRUE
BE-Bra,2010,12,TRUE
BE-Bra,2011,12,TRUE
BE-Bra,2012,12,TRUE
BE-Bra,2013,12,TRUE
BE-Bra,2014,12,TRUE
BE-Bra,2015,12,TRUE
BE-Bra,2016,12,TRUE
BE-Bra,2017,12,TRUE
BE-Bra,2018,12,TRUE
BE-Bra,2019,12,TRUE
BE-Bra,2020,12,TRUE
BE-Bra,2021,12,TRUE
BE-Bra,2022,12,TRUE
BE-Bra,2023,12,TRUE
BE-Bra,2024,12,TRUE
BE-Dor,2011,12,TRUE
BE-Dor,2012,12,TRUE
BE-Dor,2013,12,TRUE
BE-Dor,2014,12,TRUE
BE-Dor,2015,12,TRUE
BE-Dor,2016,12,TRUE
BE-Dor,2017,12,TRUE
BE-Dor,2018,12,TRUE
BE-Dor,2019,12,TRUE
BE-Dor,2020,12,TRUE
BE-Dor,2021,12,TRUE
BE-Dor,2022,12,TRUE
BE-Dor,2023,12,TRUE
BE-Dor,2024,12,TRUE
BE-Lcr,2019,12,TRUE
BE-Lcr,2020,12,TRUE
BE-Lcr,2021,12,TRUE
BE-Lcr,2022,12,TRUE
BE-Lon,2004,9,TRUE
BE-Lon,2005,12,TRUE
BE-Lon,2006,12,TRUE
BE-Lon,2007,12,TRUE
BE-Lon,2008,12,TRUE
BE-Lon,2009,12,TRUE
BE-Lon,2010,12,TRUE
BE-Lon,2011,12,TRUE
BE-Lon,2012,12,TRUE
BE-Lon,2013,12,TRUE
BE-Lon,2014,12,TRUE
BE-Lon,2015,12,TRUE
BE-Lon,2016,12,TRUE
BE-Lon,2017,12,TRUE
BE-Lon,2018,12,TRUE
BE-Lon,2019,12,TRUE
BE-Lon,2020,12,TRUE
BE-Lon,2021,12,TRUE
BE-Lon,2022,12,TRUE
BE-Lon,2023,12,TRUE
BE-Lon,2024,12,TRUE
BE-Maa,2016,12,TRUE
BE-Maa,2017,12,TRUE
BE-Maa,2018,12,TRUE
BE-Maa,2019,12,TRUE
BE-Maa,2020,12,TRUE
BE-Maa,2021,12,TRUE
BE-Maa,2022,12,TRUE
BE-Maa,2023,12,TRUE
BE-Maa,2024,12,TRUE
BE-Vie,1996,5,TRUE
BE-Vie,1997,12,TRUE
BE-Vie,1998,12,TRUE
BE-Vie,1999,12,TRUE
BE-Vie,2000,12,TRUE
BE-Vie,2001,12,TRUE
BE-Vie,2002,12,TRUE
BE-Vie,2003,12,TRUE
