site_id,n_years_era5,map_era5_after,bio12_mm,badm_map_mm,map_era5_before,ratio_to_bio12_after,ratio_to_badm_after,factor_estimate_after,nearest_cluster_after
CR-AqC,30,3000.089966666667,3307,3207,3000.089966666667,0.9071938211873803,0.9354817482590168,0.9213377847231985,1
CR-Fsc,30,1835.0328666666667,1824,NA,1835.032866666667,1.006048720760234,NA,1.006048720760234,1
CZ-BK1,30,1218.5815,1013,1338.12,1223.8335333333334,1.2029432379072063,0.9106668310764356,1.056805034491821,1
CZ-BK2,30,1092.0189,1003,1316,1092.0189,1.0887526420737788,0.8298015957446808,0.9592771189092297,1
CZ-KrP,30,604.5559666666667,576,620,604.5559666666667,1.0495763310185184,0.9750902688172043,1.0123332999178614,1
CZ-LnG,30,500.80443333333335,647,0,500.80443333333335,0.7740408552292632,Inf,Inf,NA
CZ-Lnz,30,518.4126,647,518.031,518.4126,0.8012559505409582,1.0007366354523186,0.9009962929966384,1
CZ-RAJ,30,660.3521000000001,606,681,660.3521000000001,1.0896899339933994,0.9696800293685757,1.0296849816809877,1
CZ-Stn,30,671.8468,794,685,671.8468,0.8461546599496222,0.9807982481751826,0.9134764540624024,1
CZ-wet,30,575.1535666666666,632,603,571.4314666666667,0.9100531118143459,0.9538201768933111,0.9319366443538285,1
DE-Akm,30,2403.4020666666665,563,562,2403.4020666666665,4.26892018946122,4.276516132858838,4.272718161160029,4
DE-Amv,30,675.4397666666666,773,835,750.4336333333333,0.8737901250539025,0.8089099001996007,0.8413500126267517,elsewhere
DE-Brs,30,671.8451,624,617.9,669.0684,1.0766748397435897,1.08730393267519,1.08198938620939,1
DE-Etn,30,4270.398866666666,1062,1190,4270.398866666666,4.021091211550534,3.588570476190476,3.804830843870505,4
DE-Fen,30,948.8637333333334,1131,1081,1042.6085333333333,0.8389599764220455,0.8777647856922602,0.8583623810571528,1
DE-Geb,30,611.8403,500,534,611.8403,1.2236806,1.145768352059925,1.1847244760299627,elsewhere
DE-Gri,30,912.2571666666666,790,NA,913.0325333333334,1.1547559071729958,NA,1.1547559071729958,elsewhere
DE-GsB,30,513.3818666666666,505,581,516.6206666666667,1.0165977557755774,0.8836176706827308,0.9501077132291541,1
DE-Gwg,30,1172.6761999999999,1331,1616,1172.6762,0.8810489857250187,0.7256659653465346,0.8033574755357766,elsewhere
DE-Hai,30,729.2309333333334,865,744,729.2309333333334,0.8430415414258189,0.9801491039426524,0.9115953226842357,1
DE-Har,30,610.4904333333334,797,641,594.0937666666666,0.7659854872438311,0.9524031721268852,0.8591943296853581,1
DE-Hdn,30,2464.5783333333334,559,NA,2464.5783333333334,4.4089057841383426,NA,4.4089057841383426,4
DE-HoH,30,491.82596666666666,572,563,494.7356666666667,0.859835606060606,0.8735807578448787,0.8667081819527424,1
DE-Hte,30,607.5052999999999,584,645,607.5053,1.040248801369863,0.9418686821705425,0.9910587417702028,1
DE-Hzd,30,3285.067666666667,759,877,3285.0614666666665,4.32815239350022,3.745801216267579,4.036976804883899,4
DE-Kli,30,782.8156,826,756,785.4598666666667,0.9477186440677966,1.0354703703703705,0.9915945072190835,1
DE-Lkb,30,4786.6331666666665,1332,1599,4786.6331666666665,3.593568443443443,2.993516677089848,3.2935425602666455,elsewhere
DE-Lnf,30,572.2909333333333,849,0,572.2909333333333,0.674076482135846,Inf,Inf,NA
DE-Msr,30,1160.6923,1146,1383,1160.6819666666668,1.0128205061082023,0.8392569052783803,0.9260387056932913,1
DE-Obe,30,965.4549999999999,809,981,965.455,1.1933930778739184,0.9841539245667685,1.0887735012203434,1
DE-Rns,30,492.0482,655,645,492.0482,0.7512186259541985,0.7628654263565892,0.7570420261553938,elsewhere
DE-RuC,30,1153.0368666666666,1131,1250,1153.0368666666666,1.0194844090775124,0.9224294933333332,0.9709569512054228,1
DE-RuM,30,507.6691333333333,719,750,507.6691333333333,0.7060766805748725,0.6768921777777778,0.6914844291763251,elsewhere
DE-RuR,30,885.9961,1066,1033,884.6440333333334,0.8311408067542213,0.8576922555663117,0.8444165311602665,elsewhere
DE-RuS,30,578.2699666666667,714,698,571.5275666666666,0.809901914098973,0.82846700095510994,0.8191844575270415,elsewhere
DE-RuW,30,1095.6656,1152,1250,1095.6656,0.9510986111111112,0.8765324800000001,0.9138155455555557,1
DE-SbM,30,3300.8578333333335,1500,1136,3300.8578333333335,2.2005718888888888,2.9056847124413148,2.5531283006651018,elsewhere
DE-Seh,30,513.2817333333334,714,693,513.2817333333334,0.7188819794584501,0.7406662818662819,0.729774130662366,elsewhere
DE-SfS,30,5251.853666666667,1115,1127,5251.853666666667,4.710182660687593,4.660029872818693,4.685106266753143,elsewhere
DE-Spw,30,2414.6585666666665,553,558,2414.6585666666665,4.366471187462326,4.327345101553166,4.346908144507746,4
DE-Tha,30,804.5215333333333,737,829,804.5215333333333,1.0916167345092718,0.9704722959388822,1.031044515224077,1
DE-Zrk,30,2655.0587333333333,594,584,2655.0587333333333,4.469795847362514,4.546333447488585,4.508064647425549,4
DK-Eng,30,2593.9773666666665,606,NA,2593.9773666666665,4.280490704070407,NA,4.280490704070407,4
DK-Fou,30,721.6794333333333,714,NA,721.6794333333333,1.0107555088702147,NA,1.0107555088702147,1
DK-Gds,30,918.4582666666666,795,883,918.4582666666666,1.1552934171907756,1.0401565873914684,1.097725002291122,1
DK-RCW,30,455.27136666666667,606,729.4,451.0605,0.7512728822882289,0.6241724248240563,0.6877226535561426,elsewhere
DK-Skj,30,779.0029666666667,813,809,779.0029666666667,0.9581832308323084,0.9629208487845077,0.960552039808408,1
