site_id,nee_annual_ref,nee_annual_25,nee_annual_75,half_width_site,location_lat,location_long
IT-BCi,-76.15485573558654,-105.5763465681249,-52.44117352795361,26.567586520085648,40.52375,14.957444
IT-BFt,-42.013829216859406,-103.29834430738283,14.561503636114296,58.929923971748565,45.197754,10.741966
IT-BsB,-569.7474697411199,-818.3937966335999,44.74014591455999,431.56697127407995,45.11823,7.161995
IT-CA1,-317.6955113184,-348.89936385024,-307.71730764864003,20.591028100799974,42.38041,12.026561
IT-CA2,-171.34972827264002,-218.89009593216,-136.22673856319994,41.331678684480025,42.37722,12.026039
IT-CA3,-531.8350077064321,-570.10893963264,-487.1856242073599,41.46165771264006,42.38,12.0222
IT-Cp2,-771.1443666843428,-795.4952605339885,-752.7997946550855,21.347732939451475,41.704266,12.357293
IT-Cpz,-509.2001822283428,-529.1117281242514,-488.57090932182854,20.270409401211424,41.70525,12.376106
IT-Lav,-2030.3991810625007,-2059.5921221125514,-2001.2087975384145,29.191662287068425,45.9562,11.28132
IT-Lsn,-38.03330391278399,-49.293851034388105,-30.261682659085714,9.516084187651195,45.740482,12.750297
IT-MBo,3.0261056197005054,-12.826849620048598,13.415218208514524,13.121033914281561,46.01468,11.045831
IT-MtM,-402.21377708018684,-416.81896051697277,-354.281477688576,31.268741414198388,46.687134,10.579597
IT-MtP,171.09254745792,130.39341902784,187.12783544831998,28.367208210239994,46.684284,10.5851755
IT-NiG,-54.218229783552005,-92.00563931635199,-30.44705366880002,30.779292823775982,45.51919,7.171434
IT-Noe,53.153960797439986,-29.676365625600027,142.41982745664,86.04809654112002,40.606174,8.151694
IT-PT1,-587.0865045888,-618.0935337216,-572.1478687295998,22.97283249600008,45.20087,9.061039
IT-Ren,-732.0473481306758,-808.1612294878569,-664.7470899396212,71.70706977411783,46.58686,11.43369
IT-Ro1,-216.19447721732575,-242.28994517362278,-186.60751961307426,27.84121278027426,42.40812,11.93001
IT-Ro2,-668.1405767266286,-694.5064119434056,-635.3315855866698,29.58741317836791,42.39026,11.92093
IT-SR2,-244.31055974486273,-282.2375737358013,-217.1517065684636,32.54293358366884,43.73202,10.29091
IT-SRo,-392.3006838174075,-423.33961230777766,-369.8165197595652,26.761546274106223,43.72786,10.284445
IT-Tor,-66.85406847497345,-105.81832647225511,-34.00083671128216,35.90874488048647,45.84444,7.578055
IT-TrF,-900.4637297437109,-923.6997677926853,-879.0154430882668,22.342162352209243,45.82376,7.56089
JP-Api,-262.2892787055841,-282.39643023439794,-232.06585005540612,25.16529008949591,40.001358,140.93658
JP-Fhk,-170.17649718852712,-198.49606806739766,-151.1411621762541,23.677452945571773,35.443554,138.7647
JP-Fjy,-419.4322517678123,-438.01708634649265,-406.0419170812344,15.987584632629137,35.45454,138.76225
JP-Fmt,-45.01679945965712,-159.667996424832,15.75445114581943,87.71122378532573,35.638744,139.37975
JP-Kzw,-102.88823924303999,-162.4020830094857,-41.814619432662866,60.293731788411414,36.406788,138.57257
JP-MMF,-754.9711939254857,-797.9945944459885,-731.9635814995199,33.01550647323427,44.321884,142.26152
JP-Mse,-208.82345248602516,-221.2622170572343,-199.11750978219422,11.072353637520038,36.05393,140.02693
JP-NsC,-434.57039381768726,-453.72232502228945,-417.6133804005748,18.054472310857335,36.915054,139.93684
JP-NsM,-299.0193590194036,-316.44659383435635,-285.40056475322183,15.52301454056726,36.91604,139.936
JP-Nuf,-205.75454065344007,-247.22611188479996,-147.53955340799996,49.8432792384,35.152416,136.9719
