value,area_km2
-167.0999999999999,3074.9690713168334
-166.89999999999998,3009.0227492042236
-166.5999999999999,3066.990435748524
-166.39999999999998,3062.205831154007
-166.19999999999993,2778.706298919067
-166.0999999999999,3024.679888117424
-166,3024.679888117424
-165.89999999999998,2790.0432785874327
-165.39999999999998,3072.460921920738
-165.19999999999993,6151.990658948432
-165.0999999999999,3069.0415723139727
-164.69999999999993,3019.6854778849947
-164.5,2706.296212044617
-164.39999999999998,3077.249666889143
-164.29999999999995,6129.206525514483
-164,3072.460921920738
-163.79999999999995,3075.8812570091877
-163.69999999999993,3075.8812570091877
-163.39999999999998,5826.1411871347045
-163.29999999999995,6153.5870298808095
-163.19999999999993,3075.8812570091877
-162.79999999999995,3074.9690713168334
-162.5,2997.4635815517427
-162.29999999999995,3077.0215876315983
-161.89999999999998,2991.3486737702788
-161.5999999999999,8929.463707500658
-161.39999999999998,3077.0215876315983
-161,2942.320173995636
-160.89999999999998,2882.506410037521
-160.69999999999993,3076.565442249211
-160.19999999999993,2991.3486737702788
-160.0999999999999,3077.249666889143
-160,6118.285769060938
-159.89999999999998,3073.82893772089
-159.5,6069.924503472481
-159.39999999999998,3072.460921920738
-159.29999999999995,3073.82893772089
-159.19999999999993,3074.9690713168334
-159.0999999999999,2812.08387683728
-158.89999999999998,3038.3118386238557
-158.5,6149.710588809881
-158.29999999999995,3062.205831154007
-158.19999999999993,3003.355055536621
-158,3062.205831154007
-157.89999999999998,3038.3118386238557
-157.79999999999995,2942.320173995636
-157.69999999999993,3019.6854778849947
-157.5,8513.563369394382
-157.39999999999998,3029.4492683949584
-157.0999999999999,6148.798009037723
-156.89999999999998,3019.6854778849947
-156.79999999999995,3076.565442249211
-156.5999999999999,3077.249666889143
-156.5,3077.249666889143
-156.19999999999993,3014.4663297179563
-156.0999999999999,9142.776133006164
-155.79999999999995,3066.990435748524
-155.5999999999999,3072.460921920738
-155.5,3072.460921920738
-155.39999999999998,3074.9690713168334
-155.0999999999999,6131.4814662419285
-154.89999999999998,3076.565442249211
-154.79999999999995,3024.679888117424
-154.5999999999999,3009.0227492042236
-154.0999999999999,2706.296212044617
-153.89999999999998,5982.6973475405575
-153.69999999999993,6129.890710754506
-153.5,3064.7118114879686
-153.39999999999998,5887.965133846468
-153.29999999999995,6101.910190315697
-153.19999999999993,11683.518430526132
-153,2822.7861315980836
-152.89999999999998,3029.4492683949584
-152.5999999999999,9083.73599764511
-152.39999999999998,3059.4726395989837
-152.29999999999995,5829.231437753452
-152.19999999999993,9146.489945721692
-152,3076.565442249211
-151.79999999999995,3075.8812570091877
-151.69999999999993,9185.265341614435
-151.5,3038.3118386238557
-151.29999999999995,3075.8812570091877
-151.19999999999993,3033.993340228081
-151.0999999999999,3070.8651027753717
-151,3024.679888117424
-150.89999999999998,2583.8596665654295
-150.79999999999995,3077.249666889143
-150.69999999999993,6095.566734894182
-150.5999999999999,3072.460921920738
-150.39999999999998,5993.904566425445
-150.29999999999995,5592.882415769653
-150.19999999999993,6115.561505512998
-150.0999999999999,3077.249666889143
-150,3066.990435748524
-149.69999999999993,3003.355055536621
-149.5999999999999,6085.961663320053
-149.5,3073.82893772089
-149.39999999999998,3009.0227492042236
-149.29999999999995,3077.0215876315983
-149.0999999999999,6010.313183835649
-149,3072.460921920738
-148.89999999999998,9090.341217842333
-148.79999999999995,2882.506410037521
-148.5999999999999,3064.7118114879686
-148.39999999999998,2991.3486737702788
-148.29999999999995,9094.842972886176
-148.0999999999999,6053.5545049242855
-148,2445.4102990212095
-147.89999999999998,5877.544594407173
-147.69999999999993,11439.811881526322
-147.5,3073.82893772089
-147.39999999999998,6130.346856136894
-147.19999999999993,3053.325268505295
-147.0999999999999,2997.4635815517427
-147,3066.990435748524
-146.5999999999999,3046.271122412392
-146.5,6088.921907993942
-146.39999999999998,6080.716350675606
-146.29999999999995,3070.8651027753717
-146.0999999999999,3077.249666889143
-146,8886.99301244549
-145.89999999999998,3064.7118114879686
-145.79999999999995,6113.2696148271225
-145.69999999999993,3076.565442249211
-145.5999999999999,6111.014927859679
-145.5,5993.904566425445
-145.39999999999998,11905.510064081729
-145.29999999999995,2942.320173995636
-145.19999999999993,6091.0317719671675
-145.0999999999999,6088.921907993942
-145,5873.630289599267
-144.89999999999998,5857.9553604464345
-144.79999999999995,2822.7861315980836
-144.69999999999993,6022.143469669167
-144.5999999999999,8928.099705877961
-144.5,5812.6996391471475
-144.39999999999998,3033.993340228081
-144.29999999999995,8505.800545105461
-144.19999999999993,3077.249666889143
-144.0999999999999,3038.3118386238557
-144,3038.3118386238557
-143.89999999999998,3070.8651027753717
-143.79999999999995,3024.679888117424
-143.5999999999999,3074.9690713168334
-143.5,3029.4492683949584
-143.39999999999998,6113.261558160915
-143.19999999999993,3042.4045120517503
-143.0999999999999,6020.797942165237
-143,6081.8913090390015
-142.89999999999998,11410.281775629952
-142.79999999999995,3038.3118386238557
-142.5,5984.724686047386
-142.39999999999998,3029.4492683949584
-142.29999999999995,6096.199171382088
-142.0999999999999,8671.131692985084
-142,8192.201427394524
-141.79999999999995,6057.471614358925
-141.69999999999993,11891.708546268463
-141.5999999999999,6070.951010529816
-141.5,3033.993340228081
-141.39999999999998,8863.289259955316
-141.29999999999995,5617.833230646713
-141.0999999999999,5645.135798343538
-141,12297.142947278455
-140.89999999999998,3029.4492683949584
-140.79999999999995,27142.98309996802
-140.69999999999993,6136.722306488127
-140.5999999999999,11931.454761414581
-140.5,3059.4726395989837
-140.39999999999998,3059.4726395989837
-140.29999999999995,3033.993340228081
